q_value_loss,eval reward,training average rewards: ,random reward,always migrate reward
503.35608,-4898.1987,-3419.9463,2228.92854024175,1139.5646873872804
503.3084,-4704.277,-3448.6768,2201.320145466817,1148.247031848707
503.40396,-4840.373,-3468.0574,2205.048459366399,1127.9685791788236
504.20868,-4703.098,-3405.794,2207.3489429516685,1142.2230358488005
504.0389,-4828.7524,-3416.0708,2229.3935143036647,1139.3755553507713
504.9117,-4734.4194,-3409.82,2215.9475187024723,1149.769769312387
504.7685,-4728.4478,-3400.5159,2223.0342148440513,1143.6351829139594
504.32883,-4647.3145,-3386.8037,2206.1159191633647,1147.440755085872
504.92624,-4414.0503,-3353.8547,2207.5525604991344,1134.0059631871447
504.69333,-4774.5547,-3390.35,2224.184628095133,1133.5069687299585
505.2565,-4707.2466,-3376.9963,2219.3871860209156,1140.1856688397704
505.78955,-4476.639,-3419.1655,2217.45066853228,1146.7088012290885
505.19684,-4651.1753,-3385.7046,2246.6445741938787,1140.3709958807876
506.2071,-4773.6953,-3376.337,2202.1164533121646,1133.5511990390253
506.7285,-4827.0835,-3395.6763,2196.196438037678,1132.7197206110072
506.92258,-4658.7827,-3390.0557,2217.038288064937,1144.7665901796504
506.88324,-4569.8096,-3425.6384,2203.4105036804726,1133.7205151171345
506.26666,-4740.8926,-3365.799,2199.914217098732,1141.3529611651863
507.27612,-4912.876,-3428.214,2211.4001270160225,1151.6605174463164
507.4015,-4877.6997,-3419.163,2208.416176384724,1152.622732581144
509.02722,-4885.662,-3353.8057,2189.2483961439625,1130.071555122446
508.13983,-4824.4146,-3363.966,2184.781999292701,1141.3739450993405
508.804,-4838.4834,-3378.532,2226.481803085912,1146.1547324787825
509.30212,-4935.5293,-3358.5427,2213.1718830359264,1144.4859127186005
508.92316,-4925.312,-3327.2583,2200.323107921264,1138.6557490848625
509.4166,-4676.1255,-3389.652,2209.842187748147,1140.610915929312
509.71432,-4662.752,-3315.99,2211.7508673367465,1137.5374038867885
509.5054,-4733.8447,-3357.253,2230.6381299793575,1146.5930085766672
510.1819,-4702.517,-3358.4487,2204.2927345844573,1141.0003376643406
510.83084,-4561.381,-3319.6733,2204.648117333649,1141.15523979802
510.6711,-4601.859,-3318.9893,2222.6245337996656,1143.1040944366716
510.09903,-4661.2114,-3231.986,2226.5160803918798,1145.2699528481655
510.66,-4612.3296,-3349.766,2228.835882829124,1138.4387372606045
511.041,-4686.912,-3312.2444,2183.921552763217,1137.3638245264844
511.25385,-4527.458,-3320.699,2204.180295207913,1142.951496141536
512.0452,-4941.0444,-3304.2087,2235.9408711690166,1143.853221915313
512.36926,-4886.9766,-3345.0718,2182.5680341084185,1129.1401606524673
512.74243,-4811.599,-3304.763,2220.0402444189594,1146.2482914435366
513.40656,-4597.249,-3246.1677,2214.750826807946,1139.664597727141
513.9528,-4602.8833,-3380.5322,2198.2267414265825,1132.6274633930452
514.1274,-4617.006,-3326.0862,2227.0798366206154,1145.9332732543892
514.22144,-4647.399,-3260.7302,2176.3132774292562,1137.6593632561155
513.8603,-4742.7803,-3279.6614,2182.4297110531356,1144.349386130995
514.0928,-4835.337,-3201.5986,2210.317622790269,1138.0166515785115
514.1122,-4588.205,-3329.2808,2221.902547023802,1132.1825144450645
514.95325,-4698.4854,-3135.7864,2203.9176090535943,1141.7636916706958
514.7368,-4754.6733,-3293.8062,2185.800857058423,1130.0812369354535
514.9389,-4782.2246,-3243.563,2207.374517849556,1144.8563479325035
