q_value_loss,random reward,eval reward,always migrate reward,training average rewards: 
923.5249,2282.905371601862,-4541.4453,1479.214609525989,-3372.5352
922.80615,2289.962390467933,-3013.5808,1484.83157816343,-3368.047
923.30786,2271.2716531375286,-2933.9536,1471.6644701950252,-3399.1204
995.4954,2263.7481566569177,-2606.5305,1472.234411899823,-3418.4324
998.2259,2241.0626621602887,-2697.3264,1481.8616582949646,-3441.0352
1043.8724,2267.2635733406214,-2488.6406,1475.9684681210433,-3481.7288
1044.7897,2245.7727978956154,-2615.3171,1479.376329024532,-3468.3247
1043.7832,2254.6772428354884,-2638.0408,1475.5010354262233,-3458.5442
1035.3335,2288.634377028654,-2546.9153,1475.8334908322277,-3526.6147
1035.9728,2285.957393451999,-2667.7927,1470.1996942917274,-3527.9983
1102.8323,2285.9566031091003,-2659.9995,1481.6842513010604,-3663.1453
1102.5715,2277.251203591741,-2675.678,1486.7690257458094,-3673.1858
1098.0629,2266.8758337429854,-2702.1357,1479.1311960786038,-3643.2666
1128.9645,2256.0341112560027,-2542.1892,1489.9842343890186,-3651.1338
1127.7902,2260.501380109626,-2682.7712,1481.3817179836255,-3815.8235
1121.841,2239.822938963376,-2679.9539,1474.4940783079014,-3693.956
1120.7075,2278.257513989923,-2538.8674,1487.1348684074435,-3816.6812
1121.2677,2281.852793423042,-2688.3318,1483.638623467111,-3748.4128
1109.4502,2250.8677355828195,-2617.9136,1478.00583614402,-3801.026
1107.0298,2259.799945723207,-2681.7688,1464.8734578346446,-3741.8052
1059.361,2285.208507818787,-2601.1475,1486.372828459336,-3927.3682
1058.9584,2293.782440163828,-2809.9988,1475.027965552748,-3879.439
1057.46,2262.662392200504,-2495.565,1472.8626730848569,-3886.896
1066.6288,2266.6397058992725,-2563.5793,1470.9635104585827,-3970.4685
1065.8242,2255.9833024088316,-2509.472,1471.5856040401306,-3903.5132
1124.5591,2255.4858261475024,-2798.9465,1482.2304983278582,-3961.193
1129.174,2272.16669368107,-2565.6636,1471.3637969570157,-4013.2983
1126.9956,2249.177682360439,-2701.0999,1471.3613903044102,-3888.555
1155.3627,2250.200503605557,-2669.364,1483.7719154647164,-3967.4197
1155.0306,2223.618887410579,-2599.7993,1468.5561284854698,-4052.1826
1156.191,2273.7286875988198,-2869.7063,1472.3706964332066,-4108.796
1156.6366,2298.8376710577554,-2666.7852,1492.8873016485402,-4084.6516
1157.2535,2259.2223176864745,-2686.5198,1462.8007549989813,-4169.8413
1177.2933,2253.9465782833354,-2746.728,1491.7214561245637,-4097.322
1176.4078,2287.9881880693965,-2565.0417,1467.6620000166586,-4223.307
1168.5103,2279.952858929204,-2588.6033,1475.850701869054,-4182.5176
1167.4984,2255.446074848422,-2706.0413,1472.9497952401482,-4243.5366
1168.6813,2270.5395503617788,-2613.7544,1471.9368016975234,-4280.51
1166.566,2293.3122699063706,-2698.8728,1474.4084307988096,-4404.2197
1166.8851,2302.0617410717437,-2745.5278,1477.7995085493196,-4387.13
1156.4288,2252.838666812914,-2623.107,1465.2667162365358,-4366.5337
1155.8197,2293.4975865474626,-2589.3162,1460.4133597419598,-4412.422
1154.4208,2301.5544630571703,-2568.4827,1475.5286027319962,-4405.681
1142.7552,2257.727247253902,-2689.6045,1472.7176841239755,-4462.89
1142.853,2273.05032016366,-2621.7458,1465.8002262646564,-4366.1084
1140.5327,2279.2968024727516,-2628.1602,1473.705645928726,-4423.0386
1142.0977,2282.719736356927,-2782.5054,1474.5406733682457,-4461.6875
1141.2405,2285.9871864278716,-2674.0552,1469.7279875767883,-4399.327
1190.2356,2284.106728522634,-2695.7017,1469.094795189371,-4545.218
1191.7825,2276.3303659624876,-2755.94,1466.9668958490481,-4707.386
1288.906,2285.4624166168755,-2661.9976,1478.74385964768,-4789.432
1289.4135,2267.3926600775176,-2721.6096,1470.5757776336588,-4671.852
1289.4894,2265.7182124984975,-2652.0754,1479.6139002270297,-4765.7275
1339.6926,2284.4033000764493,-2684.4792,1476.8679439685618,-4768.9316
1338.1222,2265.8675951477044,-2704.7166,1467.154053898598,-4617.5156
1324.3252,2255.673721098989,-2621.3772,1481.60672882585,-4761.9053
1328.5092,2272.1169114277377,-2555.0085,1467.3235995996588,-4806.2793
1326.8823,2252.3910567223083,-2579.2417,1478.2355427993928,-4829.643
1303.7076,2273.1114539312166,-2677.7024,1492.5855203311812,-4745.5225
1304.325,2253.0664243061137,-2601.8306,1479.2860238883954,-4668.647
1337.7834,2269.811393698644,-2685.64,1476.701517277529,-4872.786
1336.3707,2309.799454440922,-2748.38,1481.735834560939,-4483.025
1336.9817,2248.2404498420515,-2734.2134,1472.725746134459,-4658.788
1395.8364,2266.3662247482216,-2716.6174,1469.4531284964567,-4607.8457
1398.0139,2259.7373932744454,-2561.6228,1476.8987380952342,-4607.9263
1359.3708,2270.35774662566,-2530.4983,1479.3539013242892,-4694.3066
1354.7953,2275.4595935922493,-2821.6616,1478.253928551202,-4555.3853
1366.8943,2269.6986070697485,-2427.9695,1468.0202249861943,-4695.8857
1370.7174,2261.0703811907174,-2738.1687,1480.5814293812261,-4567.353
1371.31,2289.6192097570356,-2668.6519,1481.0782016492371,-4851.5044
1387.4965,2264.351576701182,-2726.3281,1477.9878498431915,-4870.7866
1387.0396,2261.7497584041294,-2734.544,1482.2450043188642,-4697.054
1380.499,2288.4264145816173,-2675.6794,1471.530555766363,-4605.7466
1317.0975,2273.3513322761078,-2621.1902,1485.8314794038113,-4727.917
1315.9823,2287.9390095535937,-2554.415,1487.5437661219155,-4582.4946
1375.7594,2275.591277969266,-2576.4268,1476.1829191069585,-4720.677
1376.1213,2275.1444425193126,-2742.2673,1462.4033055465745,-4593.94
1373.4938,2301.8979473406503,-2639.4556,1485.4920283529598,-4743.3643
1448.2697,2286.5918301203346,-2592.0369,1476.4251348754935,-4762.854
1449.2018,2280.449217490671,-2529.0535,1469.0300624101267,-4729.358
1432.2665,2247.746861965288,-2625.4282,1482.7256469870917,-4782.6255
1431.6707,2279.183520818158,-2643.3054,1471.4409678205536,-4671.466
1433.3167,2269.9299155448434,-2503.682,1470.2871965297809,-4578.049
1457.127,2285.091871686828,-2744.365,1463.8084580587688,-4672.7686
1460.3384,2281.3580898218675,-2679.0503,1469.9052231180947,-4652.1304
1565.8945,2271.889262123616,-2820.6726,1478.2954326937286,-4632.497
1561.695,2244.6496309746117,-2713.6475,1468.5870156189271,-4572.9565
1563.9293,2270.795034604169,-2730.1423,1477.4464537439635,-4513.8467
1616.8964,2262.3814486867277,-2643.1328,1483.388527629998,-4839.704
1618.1997,2263.0388472611153,-2596.8242,1468.894010485173,-4724.2896
1554.0123,2257.6523702126747,-2691.3972,1474.9195782024258,-4863.4937
1549.5133,2243.3135081457094,-2708.793,1470.535251371446,-4860.523
1548.892,2278.6246095623987,-2804.468,1459.2792217837182,-4800.8105
1546.5078,2252.132052833986,-2889.183,1471.1245001483553,-4712.2896
1536.5183,2260.235188178391,-2629.598,1474.154334110689,-4722.7646
1625.7706,2258.2669238641315,-2477.1392,1467.157634251394,-4662.1255
1623.6821,2255.4447778717085,-2761.1704,1465.754251600313,-4670.0957
