training average rewards: ,random reward,eval reward,always migrate reward,q_value_loss
-2439.751,2423.30525428854,-2009.2443,1487.6769100602717,32.341564
-2439.113,2445.4288207643017,-1961.9095,1496.6353738153043,32.39569
-2447.5916,2443.000060711238,-1035.0502,1500.8730133136423,32.410892
-2452.171,2430.4073619958567,-1030.2094,1512.999160842908,34.802513
-2445.2776,2420.160309574393,-1014.95667,1486.7209798399049,34.58619
-2464.9336,2428.418734167366,-1028.7767,1503.3316811947152,37.15366
-2464.4348,2446.5978213494736,-1032.9045,1502.5968564009604,37.351532
-2463.1172,2445.7554489141726,-1033.0017,1505.1133389713552,37.27724
-2471.1943,2448.8217297775723,-1015.2288,1485.3713460771366,38.37075
-2460.0212,2435.5996951565344,-1037.2288,1501.044986723022,38.15662
-2445.3372,2449.872170873874,-1031.8615,1502.0714112818553,42.087223
-2441.7166,2424.8569870797987,-1030.5908,1493.0950226293255,41.83229
-2445.6443,2443.034384657078,-1043.2717,1510.3127143265058,41.745247
-2444.6965,2436.836138646389,-1033.963,1511.5135069951104,44.555275
-2447.7407,2427.9037884793565,-1016.5348,1484.0961950696073,44.436165
-2442.721,2453.0116880405844,-1042.7526,1522.5447003667864,42.982925
-2447.0073,2454.7465488226203,-1019.86487,1511.329511615696,42.98822
-2444.029,2416.3010003937384,-1035.5613,1507.9218967628044,42.859314
-2412.6162,2441.3367997531022,-1041.4209,1498.218596050609,41.064613
-2412.3235,2435.443241414667,-1028.2482,1507.3548140199234,41.358204
-2353.1018,2413.76764777268,-1033.7009,1502.4888953346758,38.975605
-2349.1829,2434.452560848235,-1021.66614,1500.9132305617445,39.103233
-2347.367,2438.702355571097,-1032.2856,1509.4525309508047,38.929066
-2301.531,2461.1564287372526,-1033.0823,1499.4090916420023,37.289467
-2292.3755,2430.8191307011543,-1028.5865,1512.0484128131532,37.28038
-2250.4526,2449.8551925881698,-1029.2416,1506.644688284242,35.23965
-2249.5386,2431.953029199655,-1014.664,1496.2992108218994,35.396126
-2243.6343,2430.3402997518474,-1027.5913,1500.4840086705362,35.253902
-2200.6719,2451.788740065847,-1032.1439,1506.6773633296912,33.635723
-2188.8865,2468.7382639209673,-1043.085,1510.7967933020554,33.606308
-2116.8794,2422.5346789230666,-1034.2994,1504.989638794524,31.83186
-2104.4138,2393.3006069854832,-1025.7769,1510.325214916654,31.866562
-2116.6636,2412.539007189142,-1024.9546,1491.2944197852164,31.9308
-2054.8855,2441.9993488519663,-1028.518,1507.7442405709376,30.12961
-2069.3562,2420.563518939526,-1030.6243,1493.185115925502,30.324547
-2022.8071,2467.4241323738775,-1044.9563,1508.9493955478072,29.189861
-2020.6305,2426.424441906792,-1015.77844,1508.9949611874918,29.07298
-2021.4493,2437.1503101210637,-1028.3264,1497.6321726205758,29.148281
-1937.707,2449.075009387753,-1030.763,1505.195207775974,27.641422
-1932.1694,2451.85793637366,-1020.68494,1502.0890022162348,27.660885
-1871.2076,2456.584653611642,-1032.5383,1516.4268100564989,26.077713
-1875.8462,2439.5256959673857,-1023.652,1511.7872581189188,26.162453
-1876.5983,2427.481053878805,-1027.8644,1506.6550477246753,26.231287
-1775.7576,2430.5136750091933,-1023.7555,1503.1404037305774,24.737446
-1770.1901,2416.507408250894,-1016.95734,1509.9075195191429,24.5659
-1598.7157,2401.309998271703,-1028.0139,1498.9269251557998,22.283943
-1572.5493,2473.1958721039505,-1035.9001,1510.9922968724122,21.997612
-1594.7156,2457.6818630934085,-1032.7644,1521.3396715935319,22.247604
-1429.0402,2424.6884353840182,-1028.0736,1502.4329601570653,19.962835
-1429.5623,2432.9621341757934,-1024.3715,1503.9315961461514,19.860418
-1389.2788,2433.2077309858755,-1025.3724,1499.2461129792034,19.342249
-1393.7078,2436.531327734052,-1013.59143,1494.0154382823966,19.352177
-1399.0594,2429.3102023155084,-1034.7058,1508.2915340678146,19.349619
-1399.9867,2422.677159085325,-1022.2169,1508.9072328832622,19.321676
-1390.0789,2383.49126732764,-1013.1027,1501.2423311069917,19.270555
-1335.8649,2460.8320925536236,-1038.3983,1510.1196501861948,18.812536
-1341.7205,2400.4443413341073,-1026.9116,1504.4042092541542,18.810041
-1347.5409,2434.532314800548,-1022.5555,1486.7981186928228,18.851202
-1345.8972,2414.1966062410747,-1027.3469,1506.2045230959386,18.753143
-1340.8871,2435.250086307443,-1031.8809,1500.4692303978372,18.710943
-1343.1544,2452.665136531521,-1033.4323,1494.5995363883985,18.527895
-1334.1301,2454.8583111614453,-1029.0022,1508.936160373129,18.47806
-1346.2856,2451.4659008200492,-1035.1615,1512.543885180975,18.565115
-1322.5193,2439.813139088351,-1028.2761,1494.9551466682615,18.199587
-1321.2174,2410.2759029240824,-1018.4314,1484.8395456349476,18.196362
-1329.4019,2402.4288704351784,-1029.1669,1497.0712408686677,18.090687
-1321.2902,2434.3945435621904,-1019.76294,1492.2468557062869,18.043797
-1335.0089,2445.265524435598,-1034.6635,1506.5838625377976,18.159424
-1344.2267,2455.3395467828623,-1030.1669,1506.6640442359262,18.022388
-1346.6599,2441.363054319366,-1048.554,1515.8990464988785,18.079235
-1392.1626,2413.001337228221,-1019.80524,1481.113992303113,18.501795
-1391.5692,2400.434549487195,-1017.37695,1502.237885066898,18.436287
-1386.5106,2474.095553698085,-1015.2387,1501.4795815416612,18.37194
-1396.4575,2482.5387779672033,-1041.1393,1516.256838279528,18.442734
-1395.6211,2458.0582255343766,-1021.71136,1496.1130408204472,18.451912
-1347.4235,2437.7402581357555,-1033.8541,1515.1464125488264,17.762793
-1350.2488,2423.529703520325,-1015.0134,1500.3085731789781,17.823526
-1352.1418,2441.1315989342675,-1026.1305,1504.295860603545,17.848257
-1301.2134,2441.5228385808264,-1037.4034,1504.8030932168476,17.10557
-1295.4362,2447.3265332269443,-1026.1699,1505.6339132769654,17.066128
-1318.9353,2417.6380990256716,-1024.0388,1501.3563348833472,17.205236
-1328.8217,2453.138663673008,-1037.2682,1504.8322438011257,17.264185
-1326.146,2417.4957111097797,-1036.833,1509.912506997492,17.269781
-1311.1326,2421.363620671803,-1035.369,1502.4515785141848,17.034441
-1306.8634,2435.6776847470637,-1035.232,1515.48011342107,16.966125
-1278.7526,2422.2796990292113,-1022.65027,1511.2981279171072,16.56875
-1273.8053,2417.026961274406,-1038.5585,1494.3934735387563,16.515217
-1279.4846,2452.5147060185645,-1031.7001,1515.3598667780868,16.594767
-1319.9224,2444.218996208562,-1035.3396,1494.1461226812564,17.101492
-1314.7397,2423.0738281401373,-1036.2896,1492.1147280580674,17.044588
-1326.1302,2453.2901514023984,-1031.8704,1501.1366555354557,17.091421
-1332.4138,2455.8579566699277,-1024.2665,1487.6940473391053,17.136694
-1332.6378,2438.0732988803893,-1018.3061,1496.1504091388856,17.097244
-1300.8901,2428.4670205177513,-1033.9199,1502.711642574581,16.648367
-1300.2323,2469.3698392442284,-1029.6566,1504.2148832824703,16.600206
-1286.4724,2435.1257996020695,-1023.0477,1496.1552758172465,16.264757
-1284.2778,2454.0267400101898,-1029.1008,1511.5907872177506,16.221416
-1290.018,2442.474148248305,-1036.0211,1513.088418573141,16.235071
-1258.5133,2439.6059460038246,-1035.9211,1496.4584284780547,15.773775
-1267.6106,2475.117986781738,-1033.8915,1512.7693327760635,15.785003
