average random reward: ,value loss: ,average reward: ,average always migrate reward: ,policy loss: ,optimal migrate reward: ,Itr,batch size,average never migrate rewards: ,entropy loss: 
-2443.7,19.02,-1356.01,-1573.64,0.23,-0.0,0,480,-1479.27,1.87
-2441.5,6.57,-1146.03,-1572.66,0.04,-0.0,1,480,-1477.78,0.72
-2444.54,5.57,-1066.68,-1574.07,-0.02,-0.0,2,480,-1478.63,0.4
-2445.91,5.59,-1048.27,-1572.16,-0.0,-0.0,3,480,-1478.01,0.25
-2446.24,6.75,-1040.0,-1572.86,-0.0,-0.0,4,480,-1478.67,0.19
-2443.65,5.26,-1038.05,-1573.67,-0.0,-0.0,5,480,-1478.89,0.16
-2444.06,8.52,-1036.41,-1573.9,-0.0,-0.0,6,480,-1478.97,0.15
-2444.72,14.54,-1032.84,-1571.39,0.0,-0.0,7,480,-1477.46,0.14
-2444.57,6.57,-1032.13,-1573.99,-0.0,-0.0,8,480,-1478.52,0.05
-2444.37,6.67,-1030.3,-1574.23,-0.0,-0.0,9,480,-1479.43,0.05
-2445.57,6.11,-1029.88,-1572.3,-0.0,-0.0,10,480,-1478.3,0.05
-2447.43,7.29,-1029.56,-1573.52,-0.0,-0.0,11,480,-1477.14,0.05
-2444.68,10.69,-1029.32,-1572.71,-0.0,-0.0,12,480,-1478.29,0.04
-2443.39,6.25,-1028.48,-1572.5,-0.0,-0.0,13,480,-1478.14,0.04
-2443.25,6.07,-1028.25,-1572.3,-0.0,-0.0,14,480,-1478.3,0.03
-2446.52,9.74,-1028.36,-1574.31,0.0,-0.0,15,480,-1478.86,0.02
-2446.79,9.09,-1027.24,-1573.19,0.0,-0.0,16,480,-1478.41,0.03
-2445.06,11.12,-1027.65,-1572.33,0.0,-0.0,17,480,-1478.11,0.05
-2446.04,8.04,-1025.39,-1572.3,0.0,-0.0,18,480,-1477.85,0.01
-2445.24,6.76,-1025.86,-1574.07,-0.0,-0.0,19,480,-1479.04,0.01
-2444.38,9.28,-1025.31,-1572.01,0.0,-0.0,20,480,-1477.6,0.01
-2443.13,6.35,-1025.55,-1572.67,0.0,-0.0,21,480,-1478.19,0.01
-2446.54,7.9,-1026.11,-1573.63,0.0,-0.0,22,480,-1478.81,0.01
-2447.48,6.09,-1026.48,-1573.52,0.0,-0.0,23,480,-1478.9,0.01
-2446.66,8.49,-1026.51,-1573.3,0.0,-0.0,24,480,-1479.69,0.01
-2443.14,14.82,-1024.72,-1571.98,0.0,-0.0,25,480,-1478.01,0.01
-2445.24,8.64,-1025.25,-1572.31,-0.0,-0.0,26,480,-1477.73,0.01
-2446.2,8.88,-1025.94,-1572.9,0.0,-0.0,27,480,-1478.16,0.02
-2443.19,9.98,-1025.09,-1573.63,0.0,-0.0,28,480,-1478.83,0.01
-2442.8,6.87,-1024.7,-1572.29,0.0,-0.0,29,480,-1478.02,0.0
-2442.67,9.4,-1024.79,-1571.29,0.0,-0.0,30,480,-1477.62,0.0
-2445.91,9.58,-1026.2,-1573.18,0.0,-0.0,31,480,-1478.53,0.01
-2445.26,7.67,-1025.8,-1573.43,-0.0,-0.0,32,480,-1479.36,0.0
-2445.52,6.73,-1025.15,-1572.43,0.0,-0.0,33,480,-1477.51,0.0
-2445.55,6.55,-1024.75,-1571.95,0.0,-0.0,34,480,-1478.8,0.0
-2445.72,6.49,-1025.06,-1572.43,0.0,-0.0,35,480,-1478.35,0.0
-2445.48,10.35,-1025.98,-1573.71,0.0,-0.0,36,480,-1478.81,0.0
-2445.55,5.46,-1025.92,-1572.92,0.0,-0.0,37,480,-1477.47,0.0
-2442.15,5.43,-1025.03,-1572.39,0.0,-0.0,38,480,-1478.29,0.0
-2444.31,65.04,-1025.04,-1572.97,0.0,-0.0,39,480,-1478.0,0.03
-2444.6,7.03,-1025.6,-1573.0,-0.0,-0.0,40,480,-1477.88,0.0
-2444.7,6.98,-1025.33,-1573.08,0.0,-0.0,41,480,-1478.12,0.0
-2443.79,13.15,-1025.69,-1572.67,-0.0,-0.0,42,480,-1477.86,0.0
-2446.03,8.18,-1025.64,-1574.16,0.0,-0.0,43,480,-1477.59,0.0
-2444.33,9.84,-1025.72,-1572.77,0.0,-0.0,44,480,-1478.77,0.0
-2446.45,9.54,-1025.85,-1573.62,0.0,-0.0,45,480,-1478.96,0.0
-2444.65,9.48,-1025.75,-1573.3,0.0,-0.0,46,480,-1479.26,0.0
-2444.57,9.43,-1025.66,-1572.74,0.0,-0.0,47,480,-1478.68,0.0
-2443.7,9.36,-1024.24,-1572.12,0.0,-0.0,48,480,-1477.84,0.0
-2442.96,9.35,-1025.29,-1573.07,0.0,-0.0,49,480,-1478.55,0.0
-2445.43,9.31,-1025.45,-1573.6,0.0,-0.0,50,480,-1477.9,0.0
-2444.28,9.3,-1025.75,-1572.95,0.0,-0.0,51,480,-1478.69,0.0
-2445.74,9.29,-1026.2,-1573.11,0.0,-0.0,52,480,-1478.5,0.0
-2447.61,9.24,-1025.75,-1573.66,0.0,-0.0,53,480,-1477.86,0.0
-2446.59,9.22,-1025.37,-1574.05,0.0,-0.0,54,480,-1477.98,0.0
-2446.66,9.21,-1025.91,-1573.7,0.0,-0.0,55,480,-1478.75,0.0
-2442.78,9.21,-1025.39,-1573.06,0.0,-0.0,56,480,-1478.54,0.0
-2444.46,9.18,-1025.75,-1573.78,0.0,-0.0,57,480,-1478.11,0.0
-2444.25,9.16,-1025.07,-1572.86,0.0,-0.0,58,480,-1478.0,0.0
-2445.42,9.15,-1024.88,-1573.54,-0.0,-0.0,59,480,-1478.06,0.0
-2445.98,9.12,-1024.19,-1572.83,0.0,-0.0,60,480,-1477.42,0.0
-2445.62,9.1,-1025.02,-1574.58,-0.0,-0.0,61,480,-1477.86,0.0
-2445.81,9.08,-1026.04,-1573.31,0.0,-0.0,62,480,-1477.36,0.0
-2446.1,9.06,-1025.48,-1572.62,-0.0,-0.0,63,480,-1478.38,0.0
-2442.51,9.04,-1025.29,-1572.15,0.0,-0.0,64,480,-1478.31,0.0
-2447.64,9.02,-1025.21,-1574.1,-0.0,-0.0,65,480,-1478.73,0.0
-2445.05,8.99,-1026.2,-1573.2,-0.0,-0.0,66,480,-1478.41,0.0
-2444.7,8.97,-1025.19,-1572.37,-0.0,-0.0,67,480,-1478.23,0.0
-2444.62,8.95,-1026.31,-1574.25,-0.0,-0.0,68,480,-1478.74,0.0
-2444.57,8.92,-1025.06,-1572.82,-0.0,-0.0,69,480,-1478.7,0.0
-2443.43,8.88,-1024.73,-1571.91,-0.0,-0.0,70,480,-1478.6,0.0
-2445.34,8.86,-1025.36,-1573.11,-0.0,-0.0,71,480,-1477.78,0.0
-2447.06,8.85,-1027.18,-1574.14,-0.0,-0.0,72,480,-1479.86,0.0
-2445.98,8.82,-1026.7,-1574.14,-0.0,-0.0,73,480,-1479.35,0.0
-2447.07,8.79,-1025.9,-1573.5,-0.0,-0.0,74,480,-1478.83,0.0
-2443.95,8.75,-1024.44,-1572.42,-0.0,-0.0,75,480,-1477.39,0.0
-2444.25,8.72,-1024.71,-1572.44,-0.0,-0.0,76,480,-1478.38,0.0
-2443.74,8.7,-1025.94,-1573.08,-0.0,-0.0,77,480,-1479.25,0.0
-2442.83,8.67,-1025.32,-1572.74,-0.0,-0.0,78,480,-1478.46,0.0
-2445.78,8.65,-1025.13,-1572.66,-0.0,-0.0,79,480,-1478.51,0.0
-2443.61,8.62,-1025.51,-1571.96,-0.0,-0.0,80,480,-1478.52,0.0
-2443.93,8.58,-1024.61,-1572.41,-0.0,-0.0,81,480,-1478.57,0.0
-2446.73,8.57,-1025.58,-1573.11,-0.0,-0.0,82,480,-1479.31,0.0
-2446.32,8.53,-1024.29,-1571.18,-0.0,-0.0,83,480,-1478.9,0.0
-2444.5,8.52,-1025.29,-1572.98,-0.0,-0.0,84,480,-1478.19,0.0
-2442.62,8.47,-1025.22,-1572.18,-0.0,-0.0,85,480,-1477.33,0.0
-2445.99,8.46,-1025.08,-1573.41,-0.0,-0.0,86,480,-1478.0,0.0
-2446.32,8.44,-1025.36,-1573.47,-0.0,-0.0,87,480,-1477.69,0.0
-2443.37,8.41,-1026.19,-1573.65,-0.0,-0.0,88,480,-1478.4,0.0
-2445.53,8.37,-1025.31,-1573.86,-0.0,-0.0,89,480,-1478.42,0.0
-2446.25,8.34,-1025.17,-1572.69,-0.0,-0.0,90,480,-1477.55,0.0
-2446.75,8.33,-1025.75,-1572.28,-0.0,-0.0,91,480,-1478.2,0.0
-2445.91,8.31,-1025.39,-1572.9,-0.0,-0.0,92,480,-1478.54,0.0
-2446.37,8.28,-1025.32,-1573.27,-0.0,-0.0,93,480,-1477.65,0.0
-2441.95,8.26,-1025.42,-1573.29,-0.0,-0.0,94,480,-1478.21,0.0
-2446.76,8.24,-1024.94,-1572.75,-0.0,-0.0,95,480,-1477.53,0.0
-2444.09,8.22,-1026.26,-1572.71,-0.0,-0.0,96,480,-1478.01,0.0
-2445.27,8.21,-1026.3,-1572.75,-0.0,-0.0,97,480,-1479.09,0.0
-2445.12,8.18,-1026.24,-1573.44,0.0,-0.0,98,480,-1478.87,0.0
-2443.81,8.15,-1023.74,-1571.25,-0.0,-0.0,99,480,-1477.2,0.0
-2444.2,8.14,-1025.39,-1572.58,-0.0,-0.0,100,480,-1477.98,0.0
-2445.81,8.12,-1024.8,-1572.35,-0.0,-0.0,101,480,-1477.05,0.0
-2446.28,8.11,-1024.89,-1573.22,-0.0,-0.0,102,480,-1478.3,0.0
-2444.81,8.11,-1025.44,-1574.29,-0.0,-0.0,103,480,-1478.38,0.0
-2447.48,8.08,-1025.52,-1572.74,-0.0,-0.0,104,480,-1478.17,0.0
-2446.61,8.08,-1026.48,-1573.95,-0.0,-0.0,105,480,-1478.17,0.0
-2445.46,8.06,-1025.45,-1573.03,0.0,-0.0,106,480,-1479.56,0.0
-2443.23,8.04,-1025.03,-1572.44,-0.0,-0.0,107,480,-1478.91,0.0
-2445.2,8.01,-1025.01,-1572.12,-0.0,-0.0,108,480,-1477.91,0.0
-2443.78,8.0,-1025.87,-1572.95,-0.0,-0.0,109,480,-1478.94,0.0
-2446.13,7.99,-1025.01,-1572.68,-0.0,-0.0,110,480,-1478.08,0.0
-2441.34,7.97,-1025.12,-1573.16,-0.0,-0.0,111,480,-1478.5,0.0
-2442.37,7.95,-1025.03,-1572.76,-0.0,-0.0,112,480,-1478.12,0.0
-2446.22,7.94,-1025.4,-1572.16,-0.0,-0.0,113,480,-1479.35,0.0
-2445.13,7.91,-1025.41,-1572.74,-0.0,-0.0,114,480,-1479.27,0.0
-2446.67,7.9,-1024.81,-1571.95,-0.0,-0.0,115,480,-1478.7,0.0
-2445.96,7.88,-1025.7,-1574.66,-0.0,-0.0,116,480,-1478.96,0.0
-2443.96,7.86,-1026.11,-1572.28,-0.0,-0.0,117,480,-1479.1,0.0
-2445.77,7.84,-1026.12,-1572.53,-0.0,-0.0,118,480,-1478.29,0.0
-2445.99,7.81,-1024.93,-1573.27,-0.0,-0.0,119,480,-1479.32,0.0
