entropy loss: ,batch size,optimal migrate reward: ,average reward: ,policy loss: ,Itr,average never migrate rewards: ,value loss: ,average random reward: ,average always migrate reward: 
118.73,160,-0.0,-1815.62,0.85,0,-1250.4,15.0,-2216.45,-1349.5
117.43,160,-0.0,-1743.15,-0.92,1,-1249.93,15.0,-2215.99,-1349.56
114.93,160,-0.0,-1685.59,-0.88,2,-1250.36,15.0,-2217.98,-1349.64
111.63,160,-0.0,-1633.0,-0.82,3,-1249.96,15.02,-2216.38,-1348.63
107.6,160,-0.0,-1585.17,-0.87,4,-1249.78,15.0,-2216.61,-1349.54
102.84,160,-0.0,-1541.52,-0.8,5,-1250.17,14.99,-2218.07,-1348.85
97.62,160,-0.0,-1502.98,-0.73,6,-1248.0,14.97,-2215.44,-1348.81
92.62,160,-0.0,-1468.75,-0.66,7,-1249.34,14.93,-2217.62,-1349.17
87.37,160,-0.0,-1438.87,-0.58,8,-1249.47,14.97,-2216.52,-1349.36
82.68,160,-0.0,-1414.6,-0.49,9,-1250.07,15.03,-2215.79,-1349.12
78.56,160,-0.0,-1393.7,-0.4,10,-1250.5,15.14,-2216.76,-1349.52
74.97,160,-0.0,-1377.89,-0.35,11,-1249.68,15.09,-2216.17,-1349.35
71.79,160,-0.0,-1362.84,-0.3,12,-1249.43,15.15,-2218.79,-1349.68
69.46,160,-0.0,-1352.96,-0.23,13,-1249.12,15.12,-2214.04,-1349.49
66.94,160,-0.0,-1343.11,-0.26,14,-1250.32,15.07,-2216.93,-1350.16
64.78,160,-0.0,-1328.66,-0.12,15,-1249.3,15.13,-2215.9,-1349.62
63.26,160,-0.0,-1317.35,-0.05,16,-1248.9,15.15,-2217.47,-1349.32
60.73,160,-0.0,-1306.1,-0.01,17,-1249.32,15.16,-2218.07,-1348.81
58.63,160,-0.0,-1294.78,-0.04,18,-1250.08,15.14,-2216.38,-1350.25
56.35,160,-0.0,-1282.77,-0.02,19,-1250.01,15.14,-2216.12,-1349.74
54.01,160,-0.0,-1271.71,0.07,20,-1250.96,15.18,-2215.57,-1350.15
51.54,160,-0.0,-1260.43,0.05,21,-1250.19,15.15,-2218.52,-1349.88
49.56,160,-0.0,-1249.28,0.06,22,-1249.34,15.12,-2214.63,-1349.15
47.25,160,-0.0,-1237.78,0.14,23,-1249.28,15.14,-2216.64,-1350.08
44.89,160,-0.0,-1227.36,0.23,24,-1249.37,15.13,-2215.53,-1349.12
43.19,160,-0.0,-1220.01,0.19,25,-1248.07,15.11,-2217.26,-1349.78
41.05,160,-0.0,-1211.62,0.25,26,-1249.21,15.14,-2216.45,-1348.98
39.82,160,-0.0,-1204.86,0.31,27,-1250.39,15.2,-2215.09,-1349.56
37.93,160,-0.0,-1197.19,0.4,28,-1249.99,15.19,-2214.67,-1349.28
36.37,160,-0.0,-1191.19,0.44,29,-1250.4,15.21,-2215.73,-1349.69
34.31,160,-0.0,-1185.03,0.37,30,-1249.6,15.18,-2213.8,-1349.53
33.17,160,-0.0,-1181.04,0.4,31,-1250.31,15.18,-2216.89,-1349.82
31.72,160,-0.0,-1175.44,0.43,32,-1250.13,15.18,-2217.1,-1350.55
30.18,160,-0.0,-1170.51,0.5,33,-1249.37,15.18,-2215.21,-1349.08
29.69,160,-0.0,-1167.2,0.41,34,-1249.69,15.18,-2215.58,-1349.4
27.97,160,-0.0,-1162.02,0.4,35,-1249.56,15.16,-2216.21,-1348.47
26.9,160,-0.0,-1159.32,0.58,36,-1249.31,15.2,-2218.4,-1349.82
25.98,160,-0.0,-1156.24,0.52,37,-1249.75,15.2,-2215.56,-1349.86
25.13,160,-0.0,-1153.64,0.55,38,-1249.54,15.22,-2215.05,-1349.37
24.67,160,-0.0,-1150.92,0.5,39,-1250.27,15.23,-2219.49,-1350.09
23.72,160,-0.0,-1148.76,0.49,40,-1249.24,15.17,-2215.29,-1349.03
23.46,160,-0.0,-1147.61,0.57,41,-1249.68,15.19,-2215.07,-1349.79
23.13,160,-0.0,-1145.34,0.49,42,-1249.05,15.2,-2215.99,-1349.27
22.57,160,-0.0,-1141.82,0.48,43,-1249.49,15.19,-2218.17,-1349.56
22.31,160,-0.0,-1140.16,0.51,44,-1248.86,15.18,-2217.31,-1349.15
21.67,160,-0.0,-1137.98,0.56,45,-1250.36,15.21,-2218.08,-1349.65
21.74,160,-0.0,-1137.21,0.54,46,-1250.51,15.2,-2215.91,-1348.42
21.38,160,-0.0,-1135.09,0.58,47,-1249.83,15.22,-2216.56,-1349.64
21.44,160,-0.0,-1132.75,0.6,48,-1249.12,15.22,-2215.48,-1348.29
20.75,160,-0.0,-1131.6,0.62,49,-1250.02,15.29,-2218.92,-1350.24
19.91,160,-0.0,-1128.97,0.66,50,-1250.0,15.21,-2216.88,-1348.77
20.02,160,-0.0,-1128.19,0.69,51,-1249.66,15.19,-2216.55,-1350.07
20.01,160,-0.0,-1126.65,0.63,52,-1250.05,15.24,-2216.67,-1349.57
18.95,160,-0.0,-1124.91,0.66,53,-1249.62,15.23,-2217.37,-1349.23
18.95,160,-0.0,-1124.67,0.69,54,-1249.44,15.23,-2215.5,-1349.66
18.47,160,-0.0,-1123.17,0.7,55,-1250.47,15.2,-2218.12,-1349.4
18.18,160,-0.0,-1123.17,0.65,56,-1250.23,15.19,-2217.59,-1350.67
18.04,160,-0.0,-1121.69,0.65,57,-1249.55,15.17,-2216.21,-1349.43
17.49,160,-0.0,-1120.69,0.6,58,-1249.11,15.2,-2217.57,-1349.55
16.8,160,-0.0,-1121.18,0.64,59,-1249.18,15.22,-2214.9,-1349.29
17.11,160,-0.0,-1120.0,0.75,60,-1249.17,15.27,-2216.31,-1349.81
16.96,160,-0.0,-1118.73,0.7,61,-1248.97,15.24,-2219.64,-1349.33
17.19,160,-0.0,-1118.09,0.66,62,-1249.0,15.22,-2216.19,-1349.59
16.51,160,-0.0,-1117.74,0.63,63,-1249.38,15.22,-2214.39,-1349.5
16.48,160,-0.0,-1117.07,0.69,64,-1249.91,15.23,-2215.0,-1349.88
