value loss: ,Itr,entropy loss: ,policy loss: ,optimal migrate reward: ,batch size,average random reward: ,average always migrate reward: ,average never migrate rewards: ,average reward: 
14.99,0,121.09,-0.0,-0.0,160,-2268.44,-1586.97,-1498.12,-3128.37
15.0,1,120.27,-0.19,-0.0,160,-2266.98,-1586.92,-1497.85,-3046.54
15.0,2,118.78,-0.22,-0.0,160,-2268.95,-1586.13,-1497.06,-2925.89
15.0,3,116.91,-0.23,-0.0,160,-2268.77,-1587.56,-1498.99,-2839.96
15.0,4,114.74,-0.24,-0.0,160,-2269.12,-1586.51,-1497.53,-2730.48
15.0,5,112.12,-0.25,-0.0,160,-2268.71,-1586.64,-1497.71,-2625.56
15.0,6,108.86,-0.26,-0.0,160,-2268.19,-1585.61,-1496.29,-2528.51
15.0,7,105.13,-0.27,-0.0,160,-2270.32,-1585.45,-1496.65,-2421.01
15.0,8,100.78,-0.25,-0.0,160,-2268.33,-1586.01,-1497.02,-2314.6
15.0,9,96.27,-0.26,-0.0,160,-2269.11,-1586.38,-1497.36,-2225.88
15.0,10,91.64,-0.24,-0.0,160,-2270.9,-1585.95,-1496.95,-2141.39
15.0,11,86.55,-0.24,-0.0,160,-2270.0,-1585.66,-1496.83,-2062.48
15.0,12,81.62,-0.23,-0.0,160,-2267.02,-1585.74,-1497.31,-1979.32
15.0,13,76.67,-0.23,-0.0,160,-2269.22,-1588.05,-1498.79,-1914.28
15.0,14,72.24,-0.22,-0.0,160,-2268.24,-1585.89,-1497.19,-1844.14
15.0,15,68.79,-0.21,-0.0,160,-2270.24,-1586.96,-1497.9,-1792.28
15.0,16,64.69,-0.21,-0.0,160,-2270.52,-1586.35,-1497.68,-1731.09
15.0,17,60.38,-0.23,-0.0,160,-2267.9,-1586.16,-1497.44,-1687.68
15.0,18,56.06,-0.23,-0.0,160,-2269.66,-1586.91,-1497.56,-1626.59
15.0,19,51.82,-0.25,-0.0,160,-2267.93,-1585.4,-1497.46,-1575.08
15.0,20,47.5,-0.26,-0.0,160,-2268.06,-1587.29,-1497.51,-1517.87
15.0,21,43.17,-0.29,-0.0,160,-2269.15,-1587.65,-1499.32,-1462.43
15.0,22,38.59,-0.29,-0.0,160,-2269.89,-1586.57,-1497.91,-1415.19
15.0,23,33.7,-0.29,-0.0,160,-2268.75,-1586.67,-1497.69,-1358.39
15.0,24,29.35,-0.26,-0.0,160,-2268.18,-1586.8,-1497.7,-1315.64
15.01,25,25.36,-0.22,-0.0,160,-2270.0,-1586.61,-1498.55,-1275.71
14.99,26,21.78,-0.21,-0.0,160,-2270.81,-1586.79,-1497.79,-1245.68
15.02,27,18.7,-0.18,-0.0,160,-2268.82,-1586.89,-1497.76,-1222.14
15.01,28,15.99,-0.15,-0.0,160,-2268.69,-1585.14,-1496.47,-1199.74
14.99,29,13.6,-0.14,-0.0,160,-2268.33,-1586.5,-1498.74,-1184.8
15.0,30,11.54,-0.11,-0.0,160,-2267.73,-1586.25,-1497.62,-1171.87
